entity,iso_code,year,population,source
Afghanistan,AFG,2021,40099462,https://population.un.org/wpp/Download/Standard/CSV/
Africa,OWID_AFR,2021,1392394303,https://population.un.org/wpp/Download/Standard/CSV/
Albania,ALB,2021,2854710,https://population.un.org/wpp/Download/Standard/CSV/
Algeria,DZA,2021,44177969,https://population.un.org/wpp/Download/Standard/CSV/
American Samoa,ASM,2021,45035,https://population.un.org/wpp/Download/Standard/CSV/
Andorra,AND,2021,79034,https://population.un.org/wpp/Download/Standard/CSV/
Angola,AGO,2021,34503774,https://population.un.org/wpp/Download/Standard/CSV/
Anguilla,AIA,2021,15753,https://population.un.org/wpp/Download/Standard/CSV/
Antigua and Barbuda,ATG,2021,93220,https://population.un.org/wpp/Download/Standard/CSV/
Argentina,ARG,2021,45276780,https://population.un.org/wpp/Download/Standard/CSV/
Armenia,ARM,2021,2790974,https://population.un.org/wpp/Download/Standard/CSV/
Aruba,ABW,2021,106536,https://population.un.org/wpp/Download/Standard/CSV/
Asia,OWID_ASI,2021,4693235454,https://population.un.org/wpp/Download/Standard/CSV/
Australia,AUS,2021,25921089,https://population.un.org/wpp/Download/Standard/CSV/
Austria,AUT,2021,8922082,https://population.un.org/wpp/Download/Standard/CSV/
Azerbaijan,AZE,2021,10312992,https://population.un.org/wpp/Download/Standard/CSV/
Bahamas,BHS,2021,407906,https://population.un.org/wpp/Download/Standard/CSV/
Bahrain,BHR,2021,1463265,https://population.un.org/wpp/Download/Standard/CSV/
Bangladesh,BGD,2021,169356251,https://population.un.org/wpp/Download/Standard/CSV/
Barbados,BRB,2021,281200,https://population.un.org/wpp/Download/Standard/CSV/
Belarus,BLR,2021,9578168,https://population.un.org/wpp/Download/Standard/CSV/
Belgium,BEL,2021,11611420,https://population.un.org/wpp/Download/Standard/CSV/
Belize,BLZ,2021,400031,https://population.un.org/wpp/Download/Standard/CSV/
Benin,BEN,2021,12996895,https://population.un.org/wpp/Download/Standard/CSV/
Bermuda,BMU,2021,64185,https://population.un.org/wpp/Download/Standard/CSV/
Bhutan,BTN,2021,777486,https://population.un.org/wpp/Download/Standard/CSV/
Bolivia,BOL,2021,12079472,https://population.un.org/wpp/Download/Standard/CSV/
Bonaire Sint Eustatius and Saba,BES,2021,26706,https://population.un.org/wpp/Download/Standard/CSV/
Bosnia and Herzegovina,BIH,2021,3270943,https://population.un.org/wpp/Download/Standard/CSV/
Botswana,BWA,2021,2588423,https://population.un.org/wpp/Download/Standard/CSV/
Brazil,BRA,2021,214326223,https://population.un.org/wpp/Download/Standard/CSV/
British Virgin Islands,VGB,2021,31122,https://population.un.org/wpp/Download/Standard/CSV/
Brunei,BRN,2021,445373,https://population.un.org/wpp/Download/Standard/CSV/
Bulgaria,BGR,2021,6885868,https://population.un.org/wpp/Download/Standard/CSV/
Burkina Faso,BFA,2021,22100683,https://population.un.org/wpp/Download/Standard/CSV/
Burundi,BDI,2021,12551213,https://population.un.org/wpp/Download/Standard/CSV/
Cambodia,KHM,2021,16589023,https://population.un.org/wpp/Download/Standard/CSV/
Cameroon,CMR,2021,27198628,https://population.un.org/wpp/Download/Standard/CSV/
Canada,CAN,2021,38155012,https://population.un.org/wpp/Download/Standard/CSV/
Cape Verde,CPV,2021,587925,https://population.un.org/wpp/Download/Standard/CSV/
Cayman Islands,CYM,2021,68136,https://population.un.org/wpp/Download/Standard/CSV/
Central African Republic,CAF,2021,5457154,https://population.un.org/wpp/Download/Standard/CSV/
Chad,TCD,2021,17179740,https://population.un.org/wpp/Download/Standard/CSV/
Chile,CHL,2021,19493184,https://population.un.org/wpp/Download/Standard/CSV/
China,CHN,2021,1425893464,https://population.un.org/wpp/Download/Standard/CSV/
Colombia,COL,2021,51516562,https://population.un.org/wpp/Download/Standard/CSV/
Comoros,COM,2021,821626,https://population.un.org/wpp/Download/Standard/CSV/
Congo,COG,2021,5835806,https://population.un.org/wpp/Download/Standard/CSV/
Cook Islands,COK,2021,17003,https://population.un.org/wpp/Download/Standard/CSV/
Costa Rica,CRI,2021,5153957,https://population.un.org/wpp/Download/Standard/CSV/
Cote d'Ivoire,CIV,2021,27478249,https://population.un.org/wpp/Download/Standard/CSV/
Croatia,HRV,2021,4060135,https://population.un.org/wpp/Download/Standard/CSV/
Cuba,CUB,2021,11256372,https://population.un.org/wpp/Download/Standard/CSV/
Curacao,CUW,2021,190338,https://population.un.org/wpp/Download/Standard/CSV/
Cyprus,CYP,2021,896007,https://ec.europa.eu/eurostat/databrowser/view/tps00001/default/table?lang=en
Czechia,CZE,2021,10510750,https://population.un.org/wpp/Download/Standard/CSV/
Democratic Republic of Congo,COD,2021,95894118,https://population.un.org/wpp/Download/Standard/CSV/
Denmark,DNK,2021,5854240,https://population.un.org/wpp/Download/Standard/CSV/
Djibouti,DJI,2021,1105557,https://population.un.org/wpp/Download/Standard/CSV/
Dominica,DMA,2021,72412,https://population.un.org/wpp/Download/Standard/CSV/
Dominican Republic,DOM,2021,11117874,https://population.un.org/wpp/Download/Standard/CSV/
Ecuador,ECU,2021,17797737,https://population.un.org/wpp/Download/Standard/CSV/
Egypt,EGY,2021,109262178,https://population.un.org/wpp/Download/Standard/CSV/
El Salvador,SLV,2021,6314167,https://population.un.org/wpp/Download/Standard/CSV/
Equatorial Guinea,GNQ,2021,1634466,https://population.un.org/wpp/Download/Standard/CSV/
Eritrea,ERI,2021,3620312,https://population.un.org/wpp/Download/Standard/CSV/
Estonia,EST,2021,1328701,https://population.un.org/wpp/Download/Standard/CSV/
Eswatini,SWZ,2021,1192271,https://population.un.org/wpp/Download/Standard/CSV/
Ethiopia,ETH,2021,120283026,https://population.un.org/wpp/Download/Standard/CSV/
Europe,OWID_EUR,2021,748655221,https://population.un.org/wpp/Download/Standard/CSV/
European Union,OWID_EUN,2021,447593544,https://population.un.org/wpp/Download/Standard/CSV/
Faeroe Islands,FRO,2021,52888,https://population.un.org/wpp/Download/Standard/CSV/
Falkland Islands,FLK,2021,3764,https://population.un.org/wpp/Download/Standard/CSV/
Fiji,FJI,2021,924610,https://population.un.org/wpp/Download/Standard/CSV/
Finland,FIN,2021,5535992,https://population.un.org/wpp/Download/Standard/CSV/
France,FRA,2021,67422000,https://www.insee.fr/fr/statistiques/5012724
French Polynesia,PYF,2021,304032,https://population.un.org/wpp/Download/Standard/CSV/
Gabon,GAB,2021,2341179,https://population.un.org/wpp/Download/Standard/CSV/
Gambia,GMB,2021,2639916,https://population.un.org/wpp/Download/Standard/CSV/
Georgia,GEO,2021,3757980,https://population.un.org/wpp/Download/Standard/CSV/
Germany,DEU,2021,83408554,https://population.un.org/wpp/Download/Standard/CSV/
Ghana,GHA,2021,32833031,https://population.un.org/wpp/Download/Standard/CSV/
Gibraltar,GIB,2021,32670,https://population.un.org/wpp/Download/Standard/CSV/
Greece,GRC,2021,10445365,https://population.un.org/wpp/Download/Standard/CSV/
Greenland,GRL,2021,56243,https://population.un.org/wpp/Download/Standard/CSV/
Grenada,GRD,2021,124610,https://population.un.org/wpp/Download/Standard/CSV/
Guam,GUM,2021,170534,https://population.un.org/wpp/Download/Standard/CSV/
Guatemala,GTM,2021,17608483,https://population.un.org/wpp/Download/Standard/CSV/
Guernsey,GGY,2021,63065,https://population.un.org/wpp/Download/Standard/CSV/
Guinea,GIN,2021,13531906,https://population.un.org/wpp/Download/Standard/CSV/
Guinea-Bissau,GNB,2021,2060721,https://population.un.org/wpp/Download/Standard/CSV/
Guyana,GUY,2021,804567,https://population.un.org/wpp/Download/Standard/CSV/
